7073203;Servicios hospitalarios especializados: Hospitalizacion - Salud Mental
7073204;Servicios hospitalarios especializados: Hospitalizacion - Quemados
7073298;Servicios hospitalarios especializados: Hospitalizacion - Otros Cuidados Especiales
7073301;Servicios medicos y de centros de maternidad: Hospitalizacion - Recien Nacidos
7073302;Servicios medicos y de centros de maternidad: Quirofanos y Salas de Parto - Quirofanos
7073303;Servicios medicos y de centros de maternidad: Quirofanos y Salas de Parto - Salas de Parto
70734;Servicios de residencias de la tercera edad y residencias de convalecencia
7074;Servicios de salud publica
7075;Investigacion y desarrollo: Salud
70761;Salud - no clasificados: Servicios Conexos a la Salud - Medio Ambiente
70762;Salud - no clasificados: Servicios Conexos a la Salud - Centros y Puestos de Salud
70763;Salud - no clasificados: Servicios Conexos a la Salud - Servicios Docentes
70764;Salud - no clasificados: Servicios Conexos a la Salud - Medicina Legal
70765;Salud - no clasificados: Servicios Conexos a la Salud - Servicio de Ambulancias
70768;Salud - no clasificados: Servicios Conexos a la Salud - Otros Servicios
7081;Servicios recreativos y deportivos
7082;Servicios culturales
7083;Servicios de radio y television y servicios editoriales
7084;Servicios religiosos y otros servicios comunitarios
7085;Investigacion y desarrollo: Recreacion, cultura y religion
7086;Actividades recreativas, cultura y religion - no clasificados
70911;Ensenanza pre-escolar
70912;Ensenanza primaria
70921;Ensenanza secundaria basica
7092201;Ensenanza secundaria avanzada (media vocacional): Educacion Formal - Media Academica
7092202;Ensenanza secundaria avanzada (media vocacional): Educacion Formal - Media Tecnica
70931;Educacion post-secundaria no formal: Educacion No Formal - Formacion en Artes y Oficios
70932;Educacion post-secundaria no formal: Educacion No Formal - Validacion de Niveles y Grados
70933;Educacion post-secundaria no formal: Educacion No Formal - Formacion Extensiva
70934;Educacion post-secundaria no formal: Educacion Informal - Continuada
70935;Educacion post-secundaria no formal: Educacion Informal - Validacion para la Educacion Formal
70936;Educacion post-secundaria no formal: Educacion Informal - Difusion Artistica y Cultural
7094101;Educacion Terciaria de pre-grado: Educacion Formal - Superior - Formacion Tecnica Profesional
