S,,10103,2016,EJECUCIONDEGASTOS,,,,,,,,,,,,,,,,,,
CONTROL,CONCEPTO,VIGENCIA,DEPENDENCIA,RECURSOS,ORIGEN,DESTINACION,FINALIDAD,SITUACION,No COMP,No OBLI,No PAGO,RECIPROCA,COMP ANTICIPO,COMP SIN ANTICIPO,REVER COMP,OBLIGACION,REVER OBLI,PAGOS,ANULACION PAGOS,RESERVAS,CXP,OBLI X EJEC
D,2.1.01.01.31,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,699300 ,0,699300 ,0,0 ,0,0,0,0
D,2.1.01.01.23,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,470928 ,0,470928 ,0,0 ,0,0,0,0
D,2.1.01.02.03,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,18000000 ,0,3496000 ,0,14504000 ,0,0,0,0
D,2.1.01.02.09,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,19330000 ,0,2930000 ,0,16400000 ,0,0,0,0
D,2.1.01.03.03.01.03,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,2054500 ,0,2054500 ,0,0 ,0,0,0,0
D,2.1.01.03.03.01.05,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,513500 ,0,513500 ,0,0 ,0,0,0,0
D,2.1.01.03.03.02,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,67100 ,0,67100 ,0,0 ,0,0,0,0
D,2.1.01.03.01.03.05,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,102200 ,0,102200 ,0,0 ,0,0,0,0
D,2.1.01.03.03.03,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,513500 ,0,513500 ,0,0 ,0,0,0,0
D,2.1.01.03.01.03.07,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,90400 ,0,90400 ,0,0 ,0,0,0,0
D,2.1.02.01.01,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,3000000 ,0,1573550 ,0,1426450 ,0,0,0,0
D,2.1.02.02.98,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,3557950 ,0,1396100 ,0,2161850 ,0,0,0,0
D,2.1.02.02.07,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,162260 ,0,162260 ,0,0 ,0,0,0,0
D,2.1.02.02.13,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,300000 ,0,300000 ,0,0 ,0,0,0,0
D,2.1.02.02.98,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,508000 ,0,508000 ,0,0 ,0,0,0,0
D,2.1.02.02.98,1,04,10,001,106,70111,C,0,0,0,000000000000000,0,1 ,0,0 ,0,0 ,0,0,0,0
