"053018";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"055518";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"063018";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"065518";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"073018";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"075518";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO"
"053019";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"055519";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"063019";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"065519";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"073019";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"075519";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO"
"053022";"TRANSFERENCIAS";"055522";"TRANSFERENCIAS";"063022";"TRANSFERENCIAS";"065522";"TRANSFERENCIAS";"073022";"TRANSFERENCIAS";"075522";"TRANSFERENCIAS"
"053023";"INVERSIONES Y APORTES FINANCIEROS";"055523";"INVERSIONES Y APORTES FINANCIEROS";"063023";"INVERSIONES Y APORTES FINANCIEROS";"065523";"INVERSIONES Y APORTES FINANCIEROS";"073023";"INVERSIONES Y APORTES FINANCIEROS";"075523";"INVERSIONES Y APORTES FINANCIEROS"
"053024";"CAPITALIZACION";"055524";"CAPITALIZACION";"063024";"CAPITALIZACION";"065524";"CAPITALIZACION";"073024";"CAPITALIZACION";"075524";"CAPITALIZACION"
"053027";"CONTRATOS PARA PRESTACION DE SERVICIOS";"055527";"CONTRATOS PARA PRESTACION DE SERVICIOS";"063027";"CONTRATOS PARA PRESTACION DE SERVICIOS";"065527";"CONTRATOS PARA PRESTACION DE SERVICIOS";"073027";"CONTRATOS PARA PRESTACION DE SERVICIOS";"075527";"CONTRATOS PARA PRESTACION DE SERVICIOS"
"053090";"OTROS PROGRAMAS DE INVERSION";"055590";"OTROS PROGRAMAS DE INVERSION";"063090";"OTROS PROGRAMAS DE INVERSION";"065590";"OTROS PROGRAMAS DE INVERSION";"073090";"OTROS PROGRAMAS DE INVERSION";"075590";"OTROS PROGRAMAS DE INVERSION"
"053091";"RESERVAS PRESUPUESTALES";"055591";"RESERVAS PRESUPUESTALES";"063091";"RESERVAS PRESUPUESTALES";"065591";"RESERVAS PRESUPUESTALES";"073091";"RESERVAS PRESUPUESTALES";"075591";"RESERVAS PRESUPUESTALES"
"053092";"PASIVOS EXIGIBLES";"055592";"PASIVOS EXIGIBLES";"063092";"PASIVOS EXIGIBLES";"065592";"PASIVOS EXIGIBLES";"073092";"PASIVOS EXIGIBLES";"075592";"PASIVOS EXIGIBLES"
"0531";"SECTOR INDUSTRIA Y COMERCIO - APROBADOS (CR)";"0556";"SECTOR INDUSTRIA Y COMERCIO - POR EJECUTAR (DB)";"0631";"SECTOR INDUSTRIA Y COMERCIO - COMPROMISOS (DB)";"0656";"SECTOR INDUSTRIA Y COMERCIO - OBLIGACIONES (DB)";"0731";"SECTOR INDUSTRIA Y COMERCIO - PAGOS EN EFECTIVO (DB)";"0756";"SECTOR INDUSTRIA Y COMERCIO - PAGADOS SIN FLUJO DE EFECTIVO (DB)"
"053101";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"055601";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"063101";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"065601";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"073101";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"075601";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR"
"053102";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"055602";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"063102";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"065602";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"073102";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"075602";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR"
"053103";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"055603";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"063103";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"065603";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"073103";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"075603";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR"
"053104";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"055604";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"063104";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"065604";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"073104";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"075604";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA"
"053105";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"055605";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"063105";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"065605";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"073105";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"075605";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA"
"053106";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"055606";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"063106";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"065606";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"073106";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"075606";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA"
"053107";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"055607";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"063107";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"065607";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"073107";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"075607";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR"
"053108";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"055608";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"063108";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"065608";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"073108";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"075608";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR"
"053109";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"055609";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"063109";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"065609";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS   ADMINISTRATIVOS";"073109";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"075609";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS"
"053110";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"055610";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"063110";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"065610";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"073110";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"075610";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS"
"053111";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"055611";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"063111";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"065611";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"073111";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"075611";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO"
"053112";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"055612";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"063112";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"065612";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"073112";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"075612";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO"
"053113";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"055613";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"063113";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"065613";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"073113";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"075613";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS"
"053114";"ESTUDIOS DE PREINVERSION";"055614";"ESTUDIOS DE PREINVERSION";"063114";"ESTUDIOS DE PREINVERSION";"065614";"ESTUDIOS DE PREINVERSION";"073114";"ESTUDIOS DE PREINVERSION";"075614";"ESTUDIOS DE PREINVERSION"
"053115";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"055615";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"063115";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"065615";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"073115";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"075615";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO"
"053116";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"055616";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"063116";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"065616";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"073116";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"075616";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO"
"053117";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"055617";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"063117";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"065617";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"073117";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"075617";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO"
"053118";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"055618";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"063118";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"065618";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"073118";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"075618";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO"
"053119";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"055619";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"063119";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"065619";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"073119";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"075619";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO"
"053120";"CREDITOS";"055620";"CREDITOS";"063120";"CREDITOS";"065620";"CREDITOS";"073120";"CREDITOS";"075620";"CREDITOS"
"053121";"SUBSIDIOS DIRECTOS";"055621";"SUBSIDIOS DIRECTOS";"063121";"SUBSIDIOS DIRECTOS";"065621";"SUBSIDIOS DIRECTOS";"073121";"SUBSIDIOS DIRECTOS";"075621";"SUBSIDIOS DIRECTOS"
"053122";"TRANSFERENCIAS";"055622";"TRANSFERENCIAS";"063122";"TRANSFERENCIAS";"065622";"TRANSFERENCIAS";"073122";"TRANSFERENCIAS";"075622";"TRANSFERENCIAS"
"053123";"INVERSIONES Y APORTES FINANCIEROS";"055623";"INVERSIONES Y APORTES FINANCIEROS";"063123";"INVERSIONES Y APORTES FINANCIEROS";"065623";"INVERSIONES Y APORTES FINANCIEROS";"073123";"INVERSIONES Y APORTES FINANCIEROS";"075623";"INVERSIONES Y APORTES FINANCIEROS"
"053124";"CAPITALIZACION";"055624";"CAPITALIZACION";"063124";"CAPITALIZACION";"065624";"CAPITALIZACION";"073124";"CAPITALIZACION";"075624";"CAPITALIZACION"
"053190";"OTROS PROGRAMAS DE INVERSION";"055690";"OTROS PROGRAMAS DE INVERSION";"063190";"OTROS PROGRAMAS DE INVERSION";"065690";"OTROS PROGRAMAS DE INVERSION";"073190";"OTROS PROGRAMAS DE INVERSION";"075690";"OTROS PROGRAMAS DE INVERSION"
"053191";"RESERVAS PRESUPUESTALES";"055691";"RESERVAS PRESUPUESTALES";"063191";"RESERVAS PRESUPUESTALES";"065691";"RESERVAS PRESUPUESTALES";"073191";"RESERVAS PRESUPUESTALES";"075691";"RESERVAS PRESUPUESTALES"
"053192";"PASIVOS EXIGIBLES";"055692";"PASIVOS EXIGIBLES";"063192";"PASIVOS EXIGIBLES";"065692";"PASIVOS EXIGIBLES";"073192";"PASIVOS EXIGIBLES";"075692";"PASIVOS EXIGIBLES"
"0532";"SECTOR SALUD - APROBADOS (CR)";"0557";"SECTOR SALUD - POR EJECUTAR (DB)";"0632";"SECTOR SALUD - COMPROMISOS (DB)";"0657";"SECTOR SALUD - OBLIGACIONES (DB)";"0732";"SECTOR SALUD - PAGOS EN EFECTIVO (DB)";"0757";"SECTOR SALUD - PAGADOS SIN FLUJO DE EFECTIVO (DB)"
"053201";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"055701";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"063201";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"065701";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"073201";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"075701";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR"
"053202";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"055702";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"063202";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"065702";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"073202";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"075702";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR"
"053203";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"055703";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"063203";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"065703";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"073203";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"075703";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR"
"053204";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"055704";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"063204";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"065704";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"073204";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"075704";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA"
"053205";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"055705";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"063205";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"065705";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"073205";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"075705";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA"
"053206";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"055706";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"063206";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"065706";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"073206";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"075706";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA"
"053207";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"055707";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"063207";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"065707";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"073207";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"075707";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR"
"053208";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"055708";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"063208";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"065708";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"073208";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"075708";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR"
"053209";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"055709";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"063209";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"065709";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS  ADMINISTRATIVOS";"073209";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"075709";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS"
"053210";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"055710";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"063210";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"065710";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"073210";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"075710";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS"
"053211";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"055711";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"063211";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"065711";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"073211";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"075711";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO"
"053212";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"055712";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"063212";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"065712";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"073212";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"075712";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO"
"053213";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"055713";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"063213";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"065713";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"073213";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"075713";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS"
"053214";"ESTUDIOS DE PREINVERSION";"055714";"ESTUDIOS DE PREINVERSION";"063214";"ESTUDIOS DE PREINVERSION";"065714";"ESTUDIOS DE PREINVERSION";"073214";"ESTUDIOS DE PREINVERSION";"075714";"ESTUDIOS DE PREINVERSION"
"053215";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"055715";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"063215";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"065715";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"073215";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"075715";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO"
"053216";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"055716";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"063216";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"065716";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"073216";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"075716";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO"
