"032009";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS TRIBUNALES DE ARBITRAMENTO";"033109";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS TRIBUNALES DE ARBITRAMENTO";"035009";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS TRIBUNALES DE ARBITRAMENTO";"036009";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS TRIBUNALES DE ARBITRAMENTO";"037009";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS TRIBUNALES DE ARBITRAMENTO";"037801";"GASTOS DE PERSONAL"
"032010";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS";"033110";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS";"035010";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS";"036010";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS";"037010";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS";"037801";"GASTOS DE PERSONAL"
"032011";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS UNIDADES DE TRABAJO LEGISLATIVO";"033111";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS UNIDADES DE TRABAJO LEGISLATIVO";"035011";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS UNIDADES DE TRABAJO LEGISLATIVO";"036011";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS UNIDADES DE TRABAJO LEGISLATIVO";"037011";"SERVICIOS PERSONALES INDIRECTOS - REMUNERACION SERVICIOS TECNICOS UNIDADES DE TRABAJO LEGISLATIVO";"037801";"GASTOS DE PERSONAL"
"032012";"SERVICIOS PERSONALES INDIRECTOS - HORAS CATEDRA";"033112";"SERVICIOS PERSONALES INDIRECTOS - HORAS CATEDRA";"035012";"SERVICIOS PERSONALES INDIRECTOS - HORAS CATEDRA";"036012";"SERVICIOS PERSONALES INDIRECTOS - HORAS CATEDRA";"037012";"SERVICIOS PERSONALES INDIRECTOS - HORAS CATEDRA";"037801";"GASTOS DE PERSONAL"
"032013";"SERVICIOS PERSONALES INDIRECTOS - OTROS";"033113";"SERVICIOS PERSONALES INDIRECTOS - OTROS";"035013";"SERVICIOS PERSONALES INDIRECTOS - OTROS";"036013";"SERVICIOS PERSONALES INDIRECTOS - OTROS";"037013";"SERVICIOS PERSONALES INDIRECTOS - OTROS";"037801";"GASTOS DE PERSONAL"
"032014";"CONTRIBUCIONES INHERENTES A LA NOMINA -ADMINISTRADAS POR EL SECTOR PRIVADO";"033114";"CONTRIBUCIONES INHERENTES A LA NOMINA -ADMINISTRADAS POR EL SECTOR PRIVADO";"035014";"CONTRIBUCIONES INHERENTES A LA NOMINA -ADMINISTRADAS POR EL SECTOR PRIVADO";"036014";"CONTRIBUCIONES INHERENTES A LA NOMINA -ADMINISTRADAS POR EL SECTOR PRIVADO";"037014";"CONTRIBUCIONES INHERENTES A LA NOMINA -ADMINISTRADAS POR EL SECTOR PRIVADO";"037801";"GASTOS DE PERSONAL"
"032016";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL ICBF";"033116";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL ICBF";"035016";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL ICBF";"036016";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL ICBF";"037016";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL ICBF";"037801";"GASTOS DE PERSONAL"
"032017";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL SENA";"033117";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL SENA";"035017";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL SENA";"036017";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL SENA";"037017";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES AL SENA";"037801";"GASTOS DE PERSONAL"
"032018";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A LA ESAP";"033118";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A LA ESAP";"035018";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A LA ESAP";"036018";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A LA ESAP";"037018";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A LA ESAP";"037801";"GASTOS DE PERSONAL"
"032019";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS";"033119";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS";"035019";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS";"036019";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS";"037019";"CONTRIBUCIONES INHERENTES A LA NOMINA - APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS";"037801";"GASTOS DE PERSONAL"
"032021";"CONTRIBUCIONES INHERENTES A LA NOMINA - SUBSIDIO DE VIVIENDA";"033121";"CONTRIBUCIONES INHERENTES A LA NOMINA - SUBSIDIO DE VIVIENDA";"035021";"CONTRIBUCIONES INHERENTES A LA NOMINA - SUBSIDIO DE VIVIENDA";"036021";"CONTRIBUCIONES INHERENTES A LA NOMINA - SUBSIDIO DE VIVIENDA";"037021";"CONTRIBUCIONES INHERENTES A LA NOMINA - SUBSIDIO DE VIVIENDA";"037801";"GASTOS DE PERSONAL"
"032023";"CONTRIBUCIONES INHERENTES A LA NOMINA - OTROS APORTES A ENTIDADES DEL SECTOR PUBLICO";"033123";"CONTRIBUCIONES INHERENTES A LA NOMINA - OTROS APORTES A ENTIDADES DEL SECTOR PUBLICO";"035023";"CONTRIBUCIONES INHERENTES A LA NOMINA - OTROS APORTES A ENTIDADES DEL SECTOR PUBLICO";"036023";"CONTRIBUCIONES INHERENTES A LA NOMINA - OTROS APORTES A ENTIDADES DEL SECTOR PUBLICO";"037023";"CONTRIBUCIONES INHERENTES A LA NOMINA - OTROS APORTES A ENTIDADES DEL SECTOR PUBLICO";"037801";"GASTOS DE PERSONAL"
"032024";"INDEMNIZACION DE PERSONAL";"033124";"INDEMNIZACION DE PERSONAL";"035024";"INDEMNIZACION DE PERSONAL";"036024";"INDEMNIZACION DE PERSONAL";"037024";"INDEMNIZACION DE PERSONAL";"037801";"GASTOS DE PERSONAL"
"032025";"GASTOS DE PERSONAL – PASIVOS EXIGIBLES EN VIGENCIAS EXPIRADAS";"033125";"GASTOS DE PERSONAL – PASIVOS EXIGIBLES EN VIGENCIAS EXPIRADAS";"035025";"GASTOS DE PERSONAL – PASIVOS EXIGIBLES EN VIGENCIAS EXPIRADAS";"036025";"GASTOS DE PERSONAL – PASIVOS EXIGIBLES EN VIGENCIAS EXPIRADAS";"037025";"GASTOS DE PERSONAL – PASIVOS EXIGIBLES EN VIGENCIAS EXPIRADAS";"037801";"GASTOS DE PERSONAL"
"0321";"GASTOS GENERALES APROBADOS (CR)";"0332";"GASTOS GENERALES POR EJECUTAR (DB)";"0351";"GASTOS GENERALES COMPROMETIDOS (DB)";"0361";"OBLIGACIONES EN GASTOS GENERALES (DB)";"0371";"PAGOS EN EFECTIVO POR GASTOS GENERALES (DB)";"0378";"EJECUCION DE GASTOS DE FUNCIONAMIENTO SIN FLUJO DE EFECTIVO (DB)"
"032101";"IMPUESTOS Y CONTRIBUCIONES";"033201";"IMPUESTOS Y CONTRIBUCIONES";"035101";"IMPUESTOS Y CONTRIBUCIONES";"036101";"IMPUESTOS Y CONTRIBUCIONES";"037101";"IMPUESTOS Y CONTRIBUCIONES";"037802";"GASTOS GENERALES"
"032102";"MULTAS Y SANCIONES";"033202";"MULTAS Y SANCIONES";"035102";"MULTAS Y SANCIONES";"036102";"MULTAS Y SANCIONES";"037102";"MULTAS Y SANCIONES";"037802";"GASTOS GENERALES"
"032103";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE EQUIPO";"033203";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE EQUIPO";"035103";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE EQUIPO";"036103";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE EQUIPO";"037103";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE EQUIPO";"037802";"GASTOS GENERALES"
