7073298,Servicios hospitalarios especializados: Hospitalización - Otros Cuidados Especiales
7073301,Servicios médicos y de centros de maternidad: Hospitalización - Recién Nacidos
7073302,Servicios médicos y de centros de maternidad: Quirófanos y Salas de Parto - Quirófanos
7073303,Servicios médicos y de centros de maternidad: Quirófanos y Salas de Parto - Salas de Parto
70734,Servicios de residencias de la tercera edad y residencias de convalecencia
7074,Servicios de salud pública
7075,Investigación y desarrollo: Salud
70761,Salud - no clasificados: Servicios Conexos a la Salud - Medio Ambiente
70762,Salud - no clasificados: Servicios Conexos a la Salud - Centros y Puestos de Salud
70763,Salud - no clasificados: Servicios Conexos a la Salud - Servicios Docentes
70764,Salud - no clasificados: Servicios Conexos a la Salud - Medicina Legal
70765,Salud - no clasificados: Servicios Conexos a la Salud - Servicio de Ambulancias
70768,Salud - no clasificados: Servicios Conexos a la Salud - Otros Servicios
7081,Servicios recreativos y deportivos
7082,Servicios culturales
7083,Servicios de radio y televisión y servicios editoriales
7084,Servicios religiosos y otros servicios comunitarios
7085,Investigación y desarrollo: Recreación cultura y religión
7086,Actividades recreativas cultura y religión - no clasificados
70911,Enseñanza pre-escolar
70912,Enseñanza primaria
70921,Enseñanza secundaria básica
7092201,Enseñanza secundaria avanzada (media vocacional): Educación Formal - Media Académica
7092202,Enseñanza secundaria avanzada (media vocacional): Educación Formal - Media Técnica
70931,Educación post-secundaria no formal: Educacion No Formal - Formación en Artes y Oficios
70932,Educación post-secundaria no formal: Educacion No Formal - Validación de Niveles y Grados
70933,Educación post-secundaria no formal: Educacion No Formal - Formación Extensiva
70934,Educación post-secundaria no formal: Educacion Informal - Continuada
70935,Educación post-secundaria no formal: Educacion Informal - Validación para la Educación Formal
70936,Educación post-secundaria no formal: Educacion Informal - Difusión Artística y Cultural
7094101,Educación Terciaria de pre-grado: Educación Formal - Superior - Formación Técnica Profesional
7094102,Educación Terciaria de pre-grado: Educación Formal - Superior - Formación Tecnológica
7094103,Educación Terciaria de pre-grado: Educación Formal - Superior - Formación Profesional
70942,Educación Terciaria de post-grado
7095,Educación no definible por nivel
7096,Servicios de subsidio a la educación
7097,Investigación y desarrollo: Educación
7098,Educación: no clasificados
71011,Enfermedad
71012,Discapacidad
7102,Tercera edad
7103,Sobrevivientes
7104,Familia y niñez
7105,Desempleados
7106,Hogares
7107,Exclusiones sociales - no clasificados
7108,Investigación y desarrollo: Protección social
7109,Protección social - no clasificados
