1709,Fabricacion de otros articulos de papel y carton,0.003
1811,Actividades de impresion,0.003
1812,Actividades de servicios relacionados con la impresion,0.003
1820,Produccion de copias a partir de grabaciones originales,0.003
1910,Fabricacion de productos de hornos de coque,0.003
1921,Fabricacion de productos de la refinacion del petroleo,0.003
1922,Actividad de mezcla de combustibles,0.003
2011,Fabricacion de sustancias y productos quimicos basicos,0.003
2012,Fabricacion de abonos y compuestos inorganicos nitrogenados,0.003
2013,Fabricacion de plasticos en formas primarias,0.003
2014,Fabricacion de caucho sintetico en formas primarias,0.003
2021,Fabricacion de plaguicidas y otros productos quimicos de uso agropecuario,0.003
2022,Fabricacion de pinturas barnices y revestimientos similares tintas para impresion y masillas,0.003
2023,Fabricacion de jabones y detergentes preparados para limpiar y pulir; perfumes y preparados de tocador,0.003
2029,Fabricacion de otros productos quimicos n.c.p.,0.003
2030,Fabricacion de fibras sinteticas y artificiales,0.003
2100,Fabricacion de productos farmaceuticos sustancias quimicas medicinales y productos botanicos de uso farmaceutico,0.003
2211,Fabricacion de llantas y neumaticos de caucho,0.003
2212,Reencauche de llantas usadas,0.003
2219,Fabricacion de formas basicas de caucho y otros productos de caucho n.c.p.,0.003
2221,Fabricacion de formas basicas de plastico,0.003
2229,Fabricacion de articulos de plastico n.c.p.,0.003
2310,Fabricacion de vidrio y productos de vidrio,0.003
2391,Fabricacion de productos refractarios,0.003
2392,Fabricacion de materiales de arcilla para la construccion,0.003
2393,Fabricacion de otros productos de ceramica y porcelana,0.003
2394,Fabricacion de cemento cal y yeso,0.003
2395,Fabricacion de articulos de hormigon cemento y yeso,0.003
2396,Corte tallado y acabado de la piedra,0.003
2399,Fabricacion de otros productos minerales no metalicos n.c.p.,0.003
2410,Industrias basicas de hierro y de acero,0.003
2421,Industrias basicas de metales preciosos,0.003
2429,Industrias basicas de otros metales no ferrosos,0.003
2431,Fundicion de hierro y de acero,0.003
2432,Fundicion de metales no ferrosos,0.003
2511,Fabricacion de productos metalicos para uso estructural,0.003
2512,Fabricacion de tanques depositos y recipientes de metal excepto los utilizados para el envase o transporte de mercancias,0.003
2513,Fabricacion de generadores de vapor excepto calderas de agua caliente para calefaccion central,0.003
2520,Fabricacion de armas y municiones,0.003
2591,Forja prensado estampado y laminado de metal; pulvimetalurgia,0.003
2592,Tratamiento y revestimiento de metales; mecanizado,0.003
2593,Fabricacion de articulos de cuchilleria herramientas de mano y articulos de ferreteria,0.003
2599,Fabricacion de otros productos elaborados de metal n.c.p.,0.003
2610,Fabricacion de componentes y tableros electronicos,0.003
2620,Fabricacion de computadoras y de equipo periferico,0.003
2630,Fabricacion de equipos de comunicacion,0.003
2640,Fabricacion de aparatos electronicos de consumo,0.003
2651,Fabricacion de equipo de medicion prueba navegacion y control,0.003
2652,Fabricacion de relojes,0.003
2660,Fabricacion de equipo de irradiacion y equipo electronico de uso medico y terapeutico,0.003
2670,Fabricacion de instrumentos opticos y equipo fotografico,0.003
2680,Fabricacion de medios magneticos y opticos para almacenamiento de datos,0.003
2711,Fabricacion de motores generadores y transformadores electricos,0.003
2712,Fabricacion de aparatos de distribucion y control de la energia electrica,0.003
