020341;Venta de bienes por operaciones de comercializacio;D;NC;D
020342;Venta de servicios educativos;D;NC;D
020343;Venta de servicios de salud y prevision social;D;NC;D
020344;Venta de servicios de energia;D;NC;D
020345;Venta de servicio de comunicaciones;D;NC;D
020346;Venta de servicio de telecomunicaciones;D;NC;D
020347;Venta de servicio de acueducto;D;NC;D
020348;Venta de servicio de alcantarillado;D;NC;D
020349;Venta de servicio de gas combustible;D;NC;D
020350;Venta de servicio de aseo;D;NC;D
020351;Venta de servicio de transito y transporte;D;NC;D
020352;Venta de otros servicios;D;NC;D
020390;Otros ingresos no tributarios;D;NC;D
0204;TRANSFERENCIAS Y APORTES APROBADOS (DB);M;NC;D
020401;Sistema General de Participacion para Salud;D;NC;D
020402;Sistema General de Participacion para Educacion;D;NC;D
020403;Sistema General de Participacion para Proposito Ge;D;NC;D
020404;Sistema General de Participacion para Proposito Ge;D;NC;D
020405;Participacion para pensiones  Fonpet;D;NC;D
020406;Otras participaciones del sistema general;D;NC;D
020407;Sistema General de Participaciones - Municipios li;D;NC;D
020408;Sistema General de Participaciones - Programa Alim;D;NC;D
020409;Recursos de cofinanciacion;D;NC;D
020410;Fondo Nacional de Regalias;D;NC;D
020411;Transferencias Ley 12/86;D;NC;D
020412;Participacion Ley 1ª/72;D;NC;D
020413;Transferencias prestaciones sociales pensiones;D;NC;D
020414;Transferencias  Empresa Territorial para la Salud;D;NC;D
020415;Transferencias  Empresa Territorial para la Salud;D;NC;D
020416;Transferencias  Fondo de Solidaridad y Garantia;D;NC;D
020417;Transferencias departamentales  Vehiculo automoto;D;NC;D
020418;Transferencias  Degüello ganado mayor;D;NC;D
020419;Transferencias  Otros impuestos;D;NC;D
020420;Transferencia del sector electrico  libre asignac;D;NC;D
020421;Transferencia del sector electrico  forzosa inver;D;NC;D
020422;Transferencia ESP subsidios para servicios publico;D;NC;D
020423;Aportes recibidos de gobierno nacionales;D;NC;D
020424;Aportes recibidos de gobierno departamentales;D;NC;D
020425;Aportes recibidos de gobierno distritales;D;NC;D
020426;Aportes recibidos de gobierno municipales;D;NC;D
020427;Cuota de fiscalizacion y auditaje;D;NC;D
020428;Fondo subsidio sobretasa a la gasolina;D;NC;D
020433;Sistema Gral de Parti/- Agua Potable y Sanea/ Basi;D;NC;D
020490;Otras transferencias nacionales;D;NC;D
020491;Otras transferencias departamentales;D;NC;D
020492;Otras transferencias distritales;D;NC;D
020493;Otras transferencias municipales;D;NC;D
0207;RECURSOS DE CAPITAL APROBADOS (DB);M;NC;D
020701;Credito interno  Emision TES;D;NC;D
020702;Credito interno  Emision otros titulos de deuda p;D;NC;D
020703;Credito interno  Banca comercial;D;NC;D
020704;Credito interno - Proveedores;D;NC;D
020705;Credito interno  Fonade;D;NC;D
020706;Credito interno  Findeter;D;NC;D
020707;Credito interno  Institutos Financieros Territori;D;NC;D
020708;Credito interno  Otras entidades financieras;D;NC;D
020709;Credito externo  Emision Bonos;D;NC;D
020710;Credito externo  Banca multilateral;D;NC;D
020711;Credito externo  Gobierno;D;NC;D
020712;Credito externo  Proveedores;D;NC;D
020713;Credito externo  Otras entidades financieras;D;NC;D
020714;Donaciones;D;NC;D
020715;Diferencial cambiario;D;NC;D
020716;Excedentes financieros;D;NC;D
020717;Rendimientos operaciones financieras  TES;D;NC;D
020718;Rendimientos operaciones financieras  Otros titul;D;NC;D
020719;Rendimientos financieros  Recursos libre asignaci;D;NC;D
020720;Rendimientos financieros  Recursos forzosa invers;D;NC;D
020721;Prestamos gubernamentales recibidos del gobierno g;D;NC;D
020722;Prestamos recibidos de empresas no financieras nac;D;NC;D
020723;Prestamos recibidos del gobierno general departame;D;NC;D
020724;Prestamos recibidos de empresas no financieras dep;D;NC;D
020725;Prestamos recibidos del gobierno general distrital;D;NC;D
020726;Prestamos recibidos de empresas no financieras dis;D;NC;D
020727;Prestamos recibidos del gobierno general municipal;D;NC;D
020728;Prestamos recibidos de empresas no financieras mun;D;NC;D
020729;Ingresos por titularizacion;D;NC;D
020730;Utilidades del Banco de la Republica;D;NC;D
020731;Utilidades de empresas;D;NC;D
020732;Recursos del Fondo de Ahorro y Estabilizacion Petr;D;NC;D
020733;Venta de activos financieros;D;NC;D
020734;Venta de activos no financieros al sector publico;D;NC;D
020735;Venta de activos no financieros al sector privado;D;NC;D
020736;Reduccion capital empresas;D;NC;D
020737;Recuperacion de cartera;D;NC;D
020738;Cancelacion de reservas;D;NC;D
020739;Reintegros;D;NC;D
020740;Superavit fiscal;D;NC;D
020790;Otros recursos de capital;D;NC;D
0208;CONTRIBUCIONES PARAFISCALES APROBADAS (DB);M;NC;D
020801;Servicio Nacional de Aprendizaje - SENA;D;NC;D
