504877,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,504877,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
504958,837000084,MALLAMAS,RECUPERACION 2019,2019/01/02,504958,RECAUDO CUENTAS VIGENCIA ANTERIOR,24650
505055,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505055,RECAUDO CUENTAS VIGENCIA ACTUAL,28708
505231,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505231,RECAUDO CUENTAS VIGENCIA ACTUAL,8750
505273,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505273,RECAUDO CUENTAS VIGENCIA ACTUAL,23024
505319,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505319,RECAUDO CUENTAS VIGENCIA ACTUAL,58988
505325,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505325,RECAUDO CUENTAS VIGENCIA ACTUAL,21764
505357,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505357,RECAUDO CUENTAS VIGENCIA ACTUAL,17500
505598,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505598,RECAUDO CUENTAS VIGENCIA ACTUAL,24650
505603,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505603,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
505604,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505604,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
505609,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505609,RECAUDO CUENTAS VIGENCIA ACTUAL,42325
505789,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505789,RECAUDO CUENTAS VIGENCIA ACTUAL,22149
505791,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505791,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
505819,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505819,RECAUDO CUENTAS VIGENCIA ACTUAL,24650
505822,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,505822,RECAUDO CUENTAS VIGENCIA ACTUAL,26250
506081,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506081,RECAUDO CUENTAS VIGENCIA ACTUAL,24650
506092,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506092,RECAUDO CUENTAS VIGENCIA ACTUAL,24650
506099,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506099,RECAUDO CUENTAS VIGENCIA ACTUAL,17500
506101,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506101,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
506357,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506357,RECAUDO CUENTAS VIGENCIA ACTUAL,24329
506358,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506358,RECAUDO CUENTAS VIGENCIA ACTUAL,23038
506396,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506396,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
506398,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506398,RECAUDO CUENTAS VIGENCIA ACTUAL,26250
506412,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506412,RECAUDO CUENTAS VIGENCIA ACTUAL,17500
506413,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506413,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
506416,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506416,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
506443,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506443,RECAUDO CUENTAS VIGENCIA ACTUAL,28708
506684,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506684,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
506685,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,506685,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
507015,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507015,RECAUDO CUENTAS VIGENCIA ACTUAL,42325
507017,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507017,RECAUDO CUENTAS VIGENCIA ACTUAL,17500
507438,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507438,RECAUDO CUENTAS VIGENCIA ACTUAL,24650
507443,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507443,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
507444,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507444,RECAUDO CUENTAS VIGENCIA ACTUAL,24650
507445,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507445,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
507446,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507446,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
507861,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507861,RECAUDO CUENTAS VIGENCIA ACTUAL,35054
507873,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507873,RECAUDO CUENTAS VIGENCIA ACTUAL,10305
507974,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507974,RECAUDO CUENTAS VIGENCIA ACTUAL,15896
507979,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,507979,RECAUDO CUENTAS VIGENCIA ACTUAL,18623
508127,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,508127,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
508128,837000084,MALLAMAS,RECUPERACION 2019,2019/10/10,508128,RECAUDO CUENTAS VIGENCIA ACTUAL,5500
