CTRL,CODIGO,RAZ SOCIAL,IDENT,VIGENCIA, IMPUESTO , AVISOS , BOMBERIL , CULTURA , PATENTE , EXTEM , SANCION , INTERESES , SAL. FAV , INSENT , TOTAL , NUMERO DE RECIBO , DESCUENTO IMPUESTO , DESCUETO VALLAS , CTA BANCO 
D,33014,EXEQUIALES LA MISERICORDIA,790036720,2013,368000,55000,25000,12000,22000,0,0,0,0,42000,440000,1055,37000,5000,1110050511
D,33027,"PELUQUERIA ""STILE OMEGA""",790036720,2014,0,0,3100,12300,31000,0,0,0,0,0,46400,1056,0,0,1110050511
D,33049,SASTRERIA MAXI MODA,790036720,2014,0,0,3100,12300,31000,0,0,0,0,0,46400,1057,0,0,1110050511
D,33066,MODISTERIA MODASTEFANY,790036720,2013,0,0,3000,11800,30000,4300,0,2000,0,0,51100,1058,0,0,1110050511
D,33066,MODISTERIA MODASTEFANY,790036720,2014,0,0,3100,12300,31000,0,0,0,0,0,46400,1059,0,0,1110050511
D,33110,ESTADERO PRIMAVERA DEL NORTE,790036720,2013,362000,54000,25000,12000,21000,0,0,0,0,42000,432000,1060,42000,0,1110050511
D,33308,PELUQUERIA VANIDADES,790036720,2014,0,0,3100,12300,31000,0,0,0,0,0,46400,1061,0,0,1110050511
D,33538,BAR WITHE & BLACK ,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1062,12000,2000,1110050511
D,33564,TRAFICO J.A. LTDA.,790036720,2013,2701000,405000,186000,12000,22000,0,0,0,375000,311000,2640000,1063,270000,41000,1110050511
D,33591,MIRACARGA LTDA.,790036720,2013,954000,143000,66000,12000,22000,0,0,0,52000,110000,1035000,1064,95000,15000,1110050511
D,33633,ARTESYS.COM,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1065,12000,2000,1110050511
D,33644,LA TRADICION DE IPIALES,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1066,12000,2000,1110050511
D,33707,C DE TRAN LATINCARGA LTDA,790036720,2013,1510000,227000,104000,12000,22000,0,0,0,150000,174000,1551000,1067,151000,23000,1110050511
D,33749,CONTROL Y CAL AMBIENTAL CIA LTDA,790036720,2013,2167000,325000,150000,12000,22000,0,0,0,0,249000,2427000,1068,217000,32000,1110050511
D,33764,AG DE ADUANAS JF ASOCIADOS LTDA N 1,790036720,2013,0,0,0,12000,21000,0,0,0,0,0,33000,1069,0,0,1110050511
D,33766,BAR LA QUINTA EXCLUSIVOS,790036720,2013,123000,18000,9000,12000,22000,0,0,0,0,14000,170000,1070,12000,2000,1110050511
D,33771,PARQUEADERO LA PARRILLA,790036720,2013,123000,19000,9000,13000,22000,0,0,0,0,14000,172000,1071,12000,2000,1110050511
D,33799,RESTAURANTE EL TERMINAL,790036720,2013,123000,19000,9000,13000,22000,0,0,0,0,14000,172000,1072,12000,2000,1110050511
D,33806,ASADERO ALEXANDRA CENTENARIO,790036720,2013,123000,19000,9000,12000,22000,0,0,0,0,14000,171000,1073,12000,2000,1110050511
D,33843,LOS 2 AMIGOS,790036720,2013,3149048,472357,217284,12320,21560,0,0,0,0,362140,3510429,1074,315000,47140,1110050511
D,33909,HOTEL TORRES DE ORO,790036720,2013,144000,22000,10000,12000,22000,0,0,0,0,17000,193000,1075,14000,3000,1110050511
D,33918,SUPER POLLO ALP,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1076,12000,2000,1110050511
D,33973,CENTRO DE BELLEZA SOFY ESTILOS,790036720,2014,0,0,3100,12300,31000,0,0,0,0,0,46400,1077,0,0,1110050511
D,33977,SEVICENTRO LAURITA,790036720,2013,146000,22000,10000,12000,22000,0,0,0,0,17000,195000,1078,15000,2000,1110050511
D,34021,MR PAN,790036720,2013,123000,18000,9000,12000,22000,0,0,0,0,14000,170000,1079,12000,2000,1110050511
D,34025,SALA DE VELACION SAN MARINO,790036720,2013,123000,19000,9000,13000,22000,0,0,0,0,14000,172000,1080,12000,2000,1110050511
D,34030,CT DE ESP ODONT NUEVA SONRISA,790036720,2013,0,0,0,12000,21000,0,0,0,0,0,33000,1081,0,0,1110050511
D,34058,HOTEL TORRE DE CRISTAL,790036720,2013,138000,21000,10000,12000,21000,0,0,0,0,16000,186000,1082,14000,2000,1110050511
D,34163,PANADERIA LAS COLMENAS,790036720,2013,293000,44000,20000,12000,21000,0,0,0,0,34000,356000,1083,29000,5000,1110050511
D,34233,HOTEL RESTAURANTE CASA BELLA,790036720,2013,123000,18000,9000,12000,22000,0,0,0,0,14000,170000,1084,12000,2000,1110050511
D,34323,ASADOS VALLUNOS ,790036720,2013,144000,22000,10000,12000,22000,0,0,0,0,17000,193000,1085,14000,3000,1110050511
D,40001,BANCO DE BOGOTA ,790036720,2013,28337000,4251000,1955000,12000,22000,0,0,0,0,3259000,31934000,1086,2834000,425000,1110050511
D,40029,BANCO DE LAS MICROFINANZAS BANCAMIA,790036720,2013,4675000,701000,323000,12000,22000,0,0,0,0,538000,5195000,1087,468000,70000,1110050511
D,T2032,DROGUERIA VICTORIA 1,790036720,2013,123000,18000,9000,12000,22000,0,0,0,0,14000,170000,1088,12000,2000,1110050511
D,T51,BURBANO SOLER LIGIA ,790036720,2013,267000,40000,19000,13000,22000,0,0,0,0,30000,331000,1089,27000,3000,1110050511
